"severity","category","subcategory","pattern","message","file","line","line_text","result_data_id","false_positive_threshold"
"Warning","Complexity",,"Prospector_mccabe","BasePlugin._general_config_widget is too complex (22) (MC0001)","src/stoner_measurement/plugins/base_plugin.py","887","    def _general_config_widget(self, parent: QWidget | None = None) -> QWidget:","131508594928","80"
"High","Security","InsecureModulesLibraries","PyLintPython3_W0122","Use of exec","tests/unit/plugins/sequence/test_sequence_containers.py","167","            lambda: exec(  # noqa: S102","131530528185","80"
"Warning","BestPractice",,"Semgrep_codacy.python.i18n.no-hardcoded-strftime","Avoid hardcoded date format strings in strftime.","src/stoner_measurement/plugins/command/details.py","176","        return datetime.now().strftime(""%Y%m%d"")","131526482714","80"
"Warning","Complexity",,"Prospector_mccabe","Keithley6221_2182APlugin._plugin_config_tabs is too complex (36) (MC0001)","src/stoner_measurement/plugins/trace/k6221_2182a.py","1445","    def _plugin_config_tabs(self) -> QWidget:","131483626056","80"
"Warning","Complexity",,"Prospector_mccabe","Keithley6221_2182APlugin.configure is too complex (16) (MC0001)","src/stoner_measurement/plugins/trace/k6221_2182a.py","740","    def configure(self) -> None:","131497709867","80"
"Info","CodeStyle",,"PyLintPython3_W0404","Reimport 'pytest' (imported line 8)","tests/test_state_sweep_plugin.py","839","    import pytest","131525965609","80"
"Warning","Complexity",,"Prospector_mccabe","AxesConfigDialog.axis_changes is too complex (22) (MC0001)","src/stoner_measurement/ui/plot_widget.py","518","    def axis_changes(self) -> _AxisDialogChanges:","131507121300","80"
"Info","CodeStyle",,"PyLintPython3_W0404","Reimport 'BasePlugin' (imported line 7)","tests/unit/plugins/state/test_state_control_data_collection.py","246","        from stoner_measurement.plugins.base_plugin import BasePlugin","131525965610","80"
"Warning","Complexity",,"Prospector_mccabe","TestEnginePublisher.test_status_changed_signal_emitted is too complex (18) (MC0001)","tests/test_temperature_control.py","823","    def test_status_changed_signal_emitted(self, qapp):","131479107316","80"
"Warning","Complexity",,"Prospector_mccabe","RoundDialWidget._preferred_label_values is too complex (17) (MC0001)","src/stoner_measurement/ui/widgets/round_dial.py","899","    def _preferred_label_values(self) -> list[float]:","131507271517","80"
"Warning","Complexity",,"Prospector_mccabe","Keithley2400SweepPlugin._secondary_config_page is too complex (17) (MC0001)","src/stoner_measurement/plugins/trace/keithley_2400.py","1456","    def _secondary_config_page(","131525536675","80"
"Warning","Security","Cryptography","Bandit_B311","Standard pseudo-random generators are not suitable for security/cryptographic purposes.","src/stoner_measurement/instruments/xray/simulated.py","100","        self._random = random.Random(seed)","131526813674","80"
"Warning","Complexity",,"Prospector_mccabe","_make_cached_constant_driver is too complex (30) (MC0001)","tests/test_magnet_control.py","180","def _make_cached_constant_driver(field: float = 1.0, current: float = 10.0):","131518507110","80"
"Warning","Security","CommandInjection","Bandit_B102","Use of exec detected.","tests/unit/plugins/sequence/test_sequence_containers.py","167","            lambda: exec(  # noqa: S102","131530528180","80"
"Error","ErrorProne",,"PyLintPython3_E1102","engine_factory is not callable","src/stoner_measurement/plugins/state_sweep/base.py","570","            setter = getattr(engine_factory(), ""set_polling_rate"", None)","131529894480","80"
"Warning","Complexity",,"Prospector_mccabe","_make_fake_driver is too complex (30) (MC0001)","tests/test_magnet_control.py","40","def _make_fake_driver(field: float = 1.0, current: float = 10.0):","131481511604","80"
"Warning","Complexity",,"Prospector_mccabe","Keithley6221_2182APlugin._restore_from_json is too complex (18) (MC0001)","src/stoner_measurement/plugins/trace/k6221_2182a.py","1289","    def _restore_from_json(self, data: dict[str, Any]) -> None:","131525536676","80"
"Warning","Complexity",,"Prospector_mccabe","Keithley2400SweepPlugin.configure is too complex (21) (MC0001)","src/stoner_measurement/plugins/trace/keithley_2400.py","420","    def configure(self) -> None:","131518507809","80"
"Warning","Complexity",,"Prospector_mccabe","TestEngineLifecycle.test_connect_then_disconnect is too complex (18) (MC0001)","tests/test_temperature_control.py","382","    def test_connect_then_disconnect(self, qapp):","131479107315","80"
"Warning","BestPractice",,"Semgrep_codacy.python.i18n.no-hardcoded-strftime","Avoid hardcoded date format strings in strftime.","src/stoner_measurement/plugins/command/details.py","181","        return datetime.now().strftime(""%H%M%S"")","131526482715","80"
